tau=0.025,tau=0.05,tau=0.1,tau=0.25,tau=0.5,tau=1,tau=5,naive
0.6799867138182061,0.5768491252264877,0.055012442173266,0.48844232727887005,0.4047641924198008,0.4160448572504589,0.08900026099855929,3.080414948342103e-06
0.7143736404450451,0.0045383940902095484,0.04883290985659868,0.33536593405779075,0.08201644754525432,0.4441648674034649,0.1422267446834299,0.0036541217513716973
0.04848291539893731,0.9603997251612949,0.07070183765840768,0.32825479123923823,0.7819485386568844,0.5845241804220269,0.330324610339084,0.008050923669077115
0.29771408293952484,0.28901461733142286,0.19378197163621044,0.710401722011892,0.3277475344687499,0.6437559181772105,0.6149967253631664,3.1927832553679814e-05
0.15482632323945292,0.6679632093188672,0.531345652968039,0.08993444564979648,0.9935590917144775,0.9277856470968876,0.9355746599632021,3.350668394297429e-06
0.9772991058198038,0.08221068422387023,0.5670152023886104,0.11548831239219093,0.5710287019000165,0.18949563805480896,0.465899476157911,2.845572113407968e-05
0.4769343407594546,0.7347741371624393,0.6414902828205692,0.269236588005729,0.20527201626401,0.8637943644279927,0.49577450333115225,2.604371701631081e-07
0.6202471834040785,0.9537156454684865,0.060100385266276604,0.7296395146746382,0.8647418370895888,0.9319394316286115,0.9411035364228225,1.809970509747405e-05
0.16140482679368434,0.2617537238689152,0.37865786293223513,0.5938643365289635,0.2654227808192907,0.36503376178322033,0.3813910378577996,0.00046746414847742557
0.5687423910862527,0.950206929759539,0.5705206432804638,0.12913761659146517,0.814918795020164,0.7313111126186108,0.6461292758344532,0.007088026510819634
0.7215558060484943,0.9160021605282265,0.5024502447054212,0.8811042470838056,0.9816517726516876,0.5433430715913883,0.2590384965581886,0.004530147362444836
0.5959717289754326,0.9472367334712243,0.8226791106695168,0.36848467779313926,0.089248051135067,0.18085171692453658,0.6847977666504855,0.001911679446670922
0.6786859699306432,0.020719933280276867,0.10578411630424928,0.0316246512025398,0.8700292761736218,0.9437996428496489,0.11911164942961891,0.002054739681386031
0.4523446037021089,0.49894307606047855,0.09165029167872064,0.44042675206196313,0.37093523189018324,0.12795102272945966,0.20091507980650772,0.007232400726661425
0.4179562908791903,0.9954679421546379,0.18174788594746183,0.9784388198501728,0.3728815352366069,0.1526247678626491,0.3219344034220465,0.01033131643157148
0.3166781274030678,0.10459046640687518,0.032586243256225944,0.5755627797079478,0.3375258918155755,0.7137057599211245,0.5089698879927026,1.967671519165215e-06
0.5517665144158506,0.16035717127011342,0.3849365254943321,0.6718522088341107,0.4402935254188735,0.6053911209235323,0.18468530612965067,0.0006555673038693977
0.4456095800475794,0.08134919693288346,0.05100168778726693,0.9061125718353472,0.7987262051254592,0.42979421736556356,0.7734494799306046,6.235091098982792e-07
0.2819987371476791,0.4627532850401541,0.530801408799729,0.12533909185102848,0.23094379804979415,0.021694695629624075,0.40762099377365374,9.936656510112218e-05
0.183185080977829,0.015472781628336155,0.5152190822784761,0.8839299237088402,0.0004729883088141189,0.22226168751889164,0.21882418734425302,1.2144589209839296e-06
0.7814703243869658,0.12089631064101243,0.343418066829231,0.6758158523499544,0.7462184880443088,0.037099242321758236,0.41461967416325396,3.038494390872337e-06
0.5662279476669939,0.5753645617481162,0.5840834423164875,0.6980376424370798,0.6388637662879684,0.6942338277718578,0.1963735048091518,3.2496492217926054e-05
0.8505294137126691,0.0489814373841062,0.4424123193489833,0.5983101941058542,0.7121258730135529,0.46566166842841533,0.07361489803805102,0.0003355356926374453
0.3177253430096618,0.5829042329730866,0.26983339944126894,0.656529669380578,0.49338535041417436,0.008917910954593634,0.3141502034801259,7.4862456487245765e-06
0.5056151265395243,0.5797617139312088,0.3772790238656385,0.7375729049991274,0.49304488749888403,0.7975677246062853,0.32549880079733073,0.0007641517005950726
0.9686433642634407,0.11634173052731077,0.019329160305283505,0.0013347447503373527,0.6563879242720723,0.12307071635133782,0.43298641899852836,0.0005164101443814184
0.9792163270984481,0.8811316754226858,0.6010562988685396,0.133093451693066,0.20881399639887455,0.6773663998196497,0.42226140431385134,0.00014468296838587857
0.5572195306932386,0.3031624610333782,0.8430067687864322,0.15972184863475128,0.2482349028920981,0.014408412950158609,0.6563394097322934,4.497687894344793e-07
0.9081250340725684,0.2696966862475072,0.10029994210636009,0.2869952556747959,0.12930705220989278,0.05308639264620565,0.1856335819917708,0.0050220471437979475
0.9212000025371693,0.8680651710371183,0.3539853303333276,0.821125999680317,0.7005328764381183,,0.16345208628056204,0.001995832641094375
0.6238598406950745,0.7604945203205253,0.33380201706513735,0.4667446628959393,0.9648708796649801,0.8853893352968506,0.7459525461076032,2.2181082703909283e-07
0.5473218753423318,0.4422288807593319,0.8139525467795442,0.6912128364304309,0.27907474096624635,0.8969481462892056,0.6918623582470562,7.452855469103348e-06
0.8652531588718948,0.34976322056379927,0.48665223300083926,0.23598751773073376,0.8993357467161902,0.1615709862979516,0.7037111254774538,0.00018837244527880603
0.32521297902178453,0.11166132788074715,0.24680052711044748,0.21549328044123237,0.9000851187675013,0.42191857856088466,0.5413555414152305,0.004709099644002679
0.7096305227369504,0.026058074738719676,0.04734186997140016,0.05801723228558552,0.7585001186585989,0.7716405210151496,0.32171381170167057,0.0021700674191001967
0.02483241517742624,0.7272190092836238,0.15435592137358595,0.5830528403966888,0.5174306211242683,0.031015133290359667,0.5928927409286568,0.014885198024685686
0.43823801210113195,0.6961680139720119,0.45198336360504954,0.9996130024577072,0.41429387824043507,0.9514579103538364,0.3945188743347495,0.0014130281856705729
0.5517272758830803,0.5656086550576308,0.677365896920034,0.5136935710237044,0.23305216516789765,0.5708609317591815,0.9166294674264717,0.012784717414344282
0.8000033557750471,0.05759371716673927,0.048019218851621574,0.0551001226045096,0.5186855077208943,0.19109511932768397,0.3830159255861316,6.420084067348952e-05
0.680176384624733,0.841784598198385,0.7164850134820336,0.7321284054357677,0.8603889032634673,0.8954745638142013,0.7675877363147359,0.000510900438644657
0.7617298235600802,0.7378157886189113,0.48585400633647235,0.7333311717356172,0.7552523202309444,0.8457291443155053,0.3500657703006197,0.0030784974111331964
0.34932107443748095,0.3290821900146871,0.7822911510926065,0.9030257547342678,0.4646710052217877,0.1914750555217537,0.1538412896402021,0.0008117997214353023
0.24843575881354457,0.46561653586617874,0.4989899812225522,0.4541947375778335,0.8847167014792386,0.949572868917779,0.4024221063281853,0.0001864136885216805
0.7692116261381023,0.6291018789185546,0.42515633927856766,0.7285259724573598,0.692925414010027,0.8171655690112781,0.8449906051732917,2.0488999845857947e-05
0.9851620967668697,0.84493768742391,0.7349662733792638,0.5487408865596619,0.9705902905894926,0.9507289511182484,0.7192976535155087,0.004277331501008064
0.894339182780155,0.9408246810813824,0.16573145530353886,0.9721634609262216,0.06694724016375025,0.33339530401237455,0.3654279723283405,4.368147778488485e-06
0.4638549797179085,0.9673915600038624,0.07059124514725583,0.5625683933374855,0.4171644023131469,0.5922855513022173,0.35915780635731975,0.00380600345258697
0.8945195642202997,0.07886091976037228,0.1780497767414591,0.9274476881930219,0.8167067268168883,0.22992405769436478,0.952836136890469,0.0030795231473939033
0.7351836003656332,0.698509075645555,0.9156212136263535,0.8002269709551677,0.5956979652297798,0.8956754967403221,0.1418314773633424,0.005171416037993315
0.5444580009155916,0.10023069759942152,0.3270018991620682,0.8586695110862479,0.9598236201358714,0.4392399740288859,0.6294377643096892,8.714524990516281e-09
0.3573939892361231,0.3582695592861056,0.7923770951433422,0.9346510396012384,0.8204868021614673,0.916002007740065,0.2696094540177952,0.015722814255788697
0.04718397918567781,0.8263538814996528,0.3568610106739978,0.1101833226963799,0.24759435612056288,0.540098525035489,0.3788373553195337,1.3474777047051134e-05
