tau=0.1,naive
0.37972208131141405,0.00020912335340961263
0.5154205354713205,0.05639822877300382
0.4650811806965868,0.03604012154512981
0.25528435318122566,
0.8141406507908057,8.888855720601274e-05
,0.012593365477474583
0.7704304740356469,0.06884051522054202
,
0.1973694590895753,0.15917685657211544
0.09185940928469956,
,0.010926678371849574
0.5522597454000068,3.735651911462856e-05
0.4595410876837286,
,0.05705890381248857
0.05049192403339471,0.12003715750477217
,0.005630422686611958
0.42847503635846623,0.0065170448764795275
0.3897663246683254,0.0006425383360419978
,0.016911435493386584
0.7580192448522497,0.02183383102642089
0.6939644960373799,0.00813706157381655
0.7023746857698481,0.001137253307494701
,
0.7121836466427302,
0.34982356979679813,0.011599487295316457
0.7516638481007548,0.002036112413201674
0.9059566827289561,0.039776441376574545
0.1798514353973182,
0.8012575218352033,
0.6723454401083955,0.010893122176043546
0.9875020560580727,0.0005208539763424946
0.306653984906094,
0.2013658430850829,0.022878387162151625
0.7536011856742495,0.03049481224063111
0.8882147525511296,0.002874484023853263
,
0.371764500341561,0.001492877157496908
,0.08906089894767699
0.5665930266606259,0.09821666981073618
0.9119399945199864,
0.9389720573376613,
0.9475204099815193,
0.28651404212769926,0.01722628596695186
0.34908172624451983,0.052574253023351614
0.03907501459654093,0.06160827400243496
0.2531683431750066,
0.5283277215247395,0.0008606842326293052
0.051672132768543495,0.01084695677163472
0.5733003261877553,
0.31551289431508295,0.03127720048938143
0.783948714493106,
,
0.05989992205549102,0.0601347586997063
0.5945773056913426,
0.8900178200370779,
0.5359677513778586,0.12480425442957355
0.1741605057256203,0.05154667728774631
0.09248755083346548,0.0004944089085386905
,
,
0.2744876521650765,
0.8695869617940354,0.0029083893046217835
,
,
0.8120096524210342,0.04496013920918174
0.6038798430520655,
0.4461620470897937,0.002856605400415102
0.2886455211341677,0.014633909846624715
,0.0006404704751453716
0.33235430147848166,
0.3008683396244786,0.14298826231427408
0.7100528383598429,0.021224574689146736
0.600885584054412,0.002715564876172194
0.9948788269480779,0.01583800668272428
0.5699646946598109,0.0172812991501593
,0.017899653937743842
0.8292577168795054,0.09955150435308624
0.8352830632372724,0.11960278304087579
0.5216246566515524,
0.19521677087686057,0.019082613566663742
0.47570527045541183,0.11856217687815362
0.6975593428002236,0.03487821223531473
0.819772283865028,0.0006958239513672471
0.12155680898455351,9.53274392756498e-08
,0.0052813406397526075
0.10462320831528632,0.007053014323448292
0.06729825981542002,0.010724451359197862
,0.009418107011929466
0.9090631159169146,0.06821291301585175
,
0.33889404763341296,
0.6243312514026754,0.009600034504563482
0.37931924614227264,
0.9520162573891009,0.13194718521871351
0.9446735867080759,0.01748401782258313
0.17845347684178325,0.1101682218834954
,
0.9482398554104322,0.09690116804231474
0.63933505360635,0.0007389832743656122
0.2840924121470142,
0.47252440667943896,0.008255775328500747
0.9807404286111038,0.006077651683123908
0.9885731570316159,0.010896155359287674
,
0.6179967588339624,0.0009920508361533908
0.4806302260453191,0.03729612822899342
0.5541230539410473,0.06153955804799904
0.14235518796724525,0.021338387142836646
0.892587031707581,0.041246964519581986
0.12354275097675617,0.003987053066146551
0.23236694174785102,0.004121104848357815
,0.0008601581636178413
0.07137698261711174,0.04695592950236871
0.49278827965981215,0.00011620206708562453
,
,7.219971731586838e-09
0.1603307618421144,0.0030089676629693196
0.541372474064454,
0.7565078887933667,0.006106328983549458
0.7366546226001351,0.06014878622175135
0.08911838362730055,0.0010091750238416797
0.5120985977543936,0.01124644867284319
0.269840568318128,0.001032177117546329
0.6067489377437719,
0.5940207915131124,0.007387731194849256
0.01817562322686728,0.00059682820197271
0.8524087369559433,
0.6963522447202453,0.05401776419662463
0.792695523658081,
,0.0787705731511783
0.3875886547146117,0.013509940474449755
0.9178671592974447,0.03937909568930831
0.18983951896167744,
0.5180368859891094,
0.23869358119374182,1.965525093550191e-05
0.9503649251759274,0.0004843703453262238
0.0691888553169209,0.00012295886339031004
0.9764199104963459,0.04184248930901413
0.43677634356612793,0.0049326525180890535
0.6057083631051671,0.09776353031635887
0.08783425150379333,0.006114299139308499
0.15677682115169397,0.2551172222093564
0.62531603552183,0.05784222496086988
0.2717895002856305,0.010677588048488507
,0.05189139579563384
