tau=0.01,tau=0.05,tau=0.1,tau=0.5,tau=1,tau=5,naive
0.22155614264250784,0.9557501734089298,0.8072896880710143,0.6893371164008992,0.5260571927487377,0.8031329322416901,0.00010291808211881914
0.9562458387372411,0.5315857363234812,0.2716013293862452,0.6142687953904483,0.6728526604439188,0.8445941247318872,5.915332656258876e-06
0.323015550329065,0.1485574555840429,0.7592855267348442,0.3563608830499326,0.8505693290535944,0.45876408355430365,0.014268373503427467
0.8983531567028696,0.4225692117044554,0.4075113817130797,0.028944714843282048,0.38916810111718747,0.3634343848677795,2.327398876122988e-05
0.0922273510985564,0.20086698327855887,0.5042397248895406,0.2491292631942384,0.8908801457619395,0.8789581982798367,0.00012622379410198725
0.41893141746391843,0.19364505940578533,0.64293202195933,0.9276976833151086,0.5236033574030771,0.4552825740042839,8.241116044138685e-05
0.2298499735850098,0.3329196102894759,0.8590839318576904,0.7169573774783503,0.34405778026001316,0.8880726421343963,5.530420610355691e-07
0.1060028575890657,0.39526641494326836,0.5409582171973135,0.6891315952246073,0.5741178499689971,0.5177127058962188,0.0038015012951400085
0.3097335128501075,0.25770846746639703,0.2684110034286372,0.6305363493761615,0.4320457198383826,0.6223679044763493,2.6306220369476385e-05
0.4017708391563454,0.7075713650544279,0.13578123185091684,0.7180704984919055,0.16142162188066256,0.18759462878675942,0.003853129553632373
0.6509983867060534,0.6392275049105001,0.5614764081015112,0.4040090852746744,0.1876046532280122,0.830483225023664,3.169488851761937e-05
0.07880772762272104,0.10819958790931687,0.8631319783143506,0.20277711493725603,0.23801132484185208,0.6845694834547628,0.0020184036072213862
0.9839494617650045,0.2734619982816822,0.48050877323065494,0.6025261180559436,0.23802464956615296,0.26208669667383716,0.02662793795446694
0.9169305209921202,0.25768546678274473,0.5023231962853711,0.02031196948727692,0.8447103854182085,0.23574829518648888,0.0025294926194758816
0.5670335656246652,0.586325804081956,0.8896201891170851,0.030098795769757884,0.9847308645690145,0.11164398287032173,0.0001237363994329721
0.10377809369487552,0.5570130263595163,0.056007475492335514,0.48799526503040896,0.694273444665278,0.872156846025481,4.4073260484944754e-05
0.509758005886093,0.9057592522079964,0.4820590560009927,0.2770693966739649,0.12806537129155818,0.961266357231002,5.608915574661921e-06
0.09441411764967177,0.4618063561797329,0.45797067192915814,0.893325165553889,0.6787463319244734,0.02860120138059819,0.0003413891085043419
0.8866002866108545,0.42490265616829337,0.7404118998449842,0.05527027705131329,0.7326773815635821,0.05953622473272917,8.279204523098382e-05
0.6401957480787207,0.9320586249536352,0.911427552851281,0.3047085254517666,0.6278575780291737,0.5299846794291101,0.0006307869313325609
0.025773841171668657,0.02400471767134383,0.4238739024483447,0.57761527954432,0.3097836581226161,0.0853258416746643,7.506801699141974e-06
0.27609449815226605,0.674614599775493,0.5236068627741424,0.6663950481580474,0.5007160393623267,0.4122594714763128,0.0019106437858573688
0.7327012070655035,0.986701862537701,0.5200037914029235,0.2521615296824057,0.9598268142459573,0.5593350898164239,0.000215203684050147
0.527764318722718,0.16712000616971137,0.981436075369388,0.34280857013311117,0.443748779013631,0.2659988177954268,0.0007210605644818457
0.2983903503517195,0.9944401851953658,0.9441779962822676,0.2454387510646012,0.7822597879887772,0.7321972608487844,6.892171034333927e-06
0.8711707272783271,0.5311697887679484,0.46459910468765847,0.3607915418730989,0.445888942026574,0.6380520686366045,8.439029584028646e-07
0.824566571989725,0.6006845404396424,0.3887448806170727,0.11681686789268544,0.7355047472087354,0.4411583853467863,6.551503334828457e-05
0.8453946130211183,0.6473792260569287,0.6339838027877719,0.5321999757483953,0.40246974755978554,0.8405278106436556,0.0016969567853627465
0.46059408641707267,0.946833743925744,0.04096617964574054,0.4061183519013595,0.7891291832437114,0.34725721535654286,0.004212648498265414
0.5875739380861035,0.8171543745851958,0.8270038319656732,0.8602059657924169,0.5052463262693764,0.22062987231692302,8.699614103935271e-05
0.795227059736955,0.37997077866185036,0.5974065306832919,0.19811007299939545,0.36718938258520356,0.8117826695426856,0.0008953893607817065
0.3838642711257675,0.7060199018180877,0.6116606271571277,0.25647140650528905,0.10725811688607041,0.4625696333375312,0.002397813458468123
0.3219900027706641,0.40830328866219573,0.46668836957522575,0.510027253202333,0.5982713894623081,0.7789080580245901,4.802151971694535e-05
0.011666257343920816,0.6506683598413318,0.8723732815363884,0.05870116354167581,0.38576808387301376,0.8758050078895362,8.277349802443545e-05
0.18541526380284698,0.1392395810458279,0.9276858836620878,0.014444148572898803,0.030348835382330106,0.25491834740637026,2.465739464230232e-05
0.6876665903176439,0.12813398473666418,0.4976565865199225,0.65852188704306,0.3909246527641029,0.2648386806299803,0.0005427656381844503
0.3298356435405612,0.5581372485480681,0.3593288491867483,0.24563653806608043,0.9306282293142365,0.021675479418654147,0.02902703783830074
0.5753505483286239,0.7549360474155924,0.7956743874394966,0.11400008635785734,0.2291461529848166,0.5068838835922564,0.0027683612843673044
0.972546353382034,0.8114168392074367,0.7442986982992549,0.8682365328493558,0.19837519756847335,0.700492418022659,0.10160574331936134
0.37923456695220775,0.5375884565498037,0.5445355127146287,0.7887585243766126,0.29924913559552285,0.1314399368126135,6.764645488432919e-05
0.5214103826683529,0.8189181465378299,0.2602813904980099,0.6819478635471377,0.7256001143812215,0.918869039902214,2.425055301014112e-07
0.06198974096911126,0.9223788681627917,0.6359029219346916,0.1485457486732087,0.5097248643533375,0.43872942086025757,0.00010139963328226198
0.48765131406359435,0.8601763676772076,0.09921230057990411,0.7372598406822167,0.9231369754101657,0.7291294117925111,0.00033837711711326435
0.8546630044645898,0.4633832994771908,0.03245970932230131,0.596219895279997,0.28815016613714706,0.38970553877100583,0.00027453899252150027
0.23616508369102351,0.32172709670764116,0.3325785841268784,0.17854697797067276,0.404544311767677,0.29303084971704707,0.0019429880119647969
0.8625199894630774,0.30584242668259903,0.12505324620191435,0.6023740753891247,0.7934212467582068,0.8193065779750613,7.4699213277185095e-06
0.9905419624676223,0.4596682253508494,0.19342127853204027,0.9884020049946463,0.2577637736091257,0.1891708375642478,0.017589009607368866
0.7791249997941802,0.7871217770623732,0.454193016421615,0.10249035869426894,0.9294033628558112,0.10666058173262938,2.6309421229386842e-06
0.56902937197458,0.014796853697805198,0.9901776983605425,0.27952598517687255,0.9779982661873784,0.7655452072138001,0.0001028494574552008
0.6787065186086397,0.37138081414737445,0.1470275213688313,0.460644924348934,0.7956399091171984,0.5500850481443561,0.002018192317378986
0.5248445485246279,0.8615695634968741,0.4859761263414555,0.987440128843046,0.6050985474140059,0.3677780022428323,0.015978735103560626
0.004743446515613747,0.976941674469845,0.2187632651664208,0.7556545694399303,0.12593243033084858,0.33255059447539614,0.001230741190321405
0.6002656885401525,0.7204476349773009,0.8620300362534938,0.9276273128884621,0.2703527773153956,0.8189437469752046,0.016681725086037602
0.8894339441270755,0.7293547268911218,0.7614978758066634,0.06817037465254212,0.38353433717048,0.5329316132710575,1.3336896637849982e-05
0.025557753998771967,0.5317970917577378,0.371258166937638,0.4348529888975264,0.12525985684740087,0.906212978101876,8.09718680017113e-06
0.7399159131339531,0.49394627119871487,0.35451338371268476,0.22192544655758145,0.6082365954990577,0.4882387883635426,0.0012173743659559255
0.05815811561779966,0.4967457928979154,0.6803780204795149,0.48631653742802344,0.033206147580002246,0.2829669825764058,0.0002844535213279986
0.8941577530246154,0.2911031389637336,0.6705157287270423,0.5497185370768101,0.09203184785546738,0.6178017202268149,0.00038565676452539943
0.9351599617770796,0.2828343773186207,0.9995055834439301,0.8485300949033845,0.12041608492592447,0.33184637640945985,0.0010726235207946244
0.7115824941033175,0.18727415762173247,0.8826729935875713,0.4799379910643306,0.8646821438407055,0.7165744661466552,5.264597963394735e-05
0.9753341108131147,0.8403331181358396,0.8966465362029978,0.02998446392602655,0.9118683170597154,0.4044407512793544,0.0012678197326412288
0.09294577740105044,0.722597853754122,0.13708330058609772,0.08000949060016503,0.9831541349924345,0.8326316143507076,5.210129345145642e-05
0.4820794595304675,0.6106093161968414,0.3942888961142171,0.8560124851814284,0.3767997060038074,0.06085670345727434,5.0294685978391485e-05
0.3190322636196753,0.829567321185794,0.6274110891562933,0.8337977460220739,0.6656815080877214,0.7825466052434987,5.1763093364964874e-05
0.27879044469585396,0.9186133770229649,0.35382518766614807,0.9637529942720025,0.29690104342325985,0.28132313765734085,0.0013952376855340676
0.5954827828011313,0.28202702112010253,0.889239540163302,0.777416975555596,0.5082993628001564,0.3217538330782452,0.0001074203326746348
0.2249585787840648,0.9799630007625544,0.7710237100256598,0.2629793774955185,0.05466881062901156,0.07274383255941454,3.443854811546743e-05
0.41171010070753344,0.46372509627564357,0.36165777296938667,0.15088385046393496,0.8789662602160938,0.5319535871922664,0.001864748087368473
0.27985836001800624,0.5797286617492134,0.5570833343306466,0.19006824110024148,0.59893948721751,0.9047619968551016,3.409265900677916e-05
0.11533289118274842,0.8683447630382702,0.12028198293101275,0.2485538099164654,0.9210800286994921,0.5035035536565834,1.86543873721412e-05
0.8987178339677945,0.47745861619955754,0.47111437778377024,0.1846242415118612,0.8769704374995518,0.35044315039729723,0.0001851255838302146
0.4174305754081887,0.9791507360339963,0.6536174297319867,0.9497946237946844,0.15124251672695477,0.4749977221680912,7.4412694913705835e-06
0.2741635294875336,0.4386375364006467,0.18419624730345377,0.6270029920250687,0.10199676141709664,0.7600607986461505,0.0002531179665330452
0.3069715585259419,0.6016351420786074,0.004971297534496787,0.03533685605948429,0.0068515875011437005,0.5840786885938924,0.0008255017377657436
0.4830379743877352,0.2571304316146008,0.5387831511098349,0.09134075174340378,0.20098739660990703,0.8374253562778209,1.8954661343828505e-06
