tau,delta,effect_size,reject,min_size>=10,method,linkage
NA,1.0,0.6799999999999999,0,0,Barber,average
NA,1.0,0.7467532467532467,0,0,Barber,average
NA,1.0,0.6739130434782609,0,0,Barber,average
NA,1.0,0.6956521739130435,0,0,Barber,average
NA,1.0,0.7,0,0,Barber,average
NA,1.0,0.7714285714285714,0,1,Barber,average
NA,1.0,0.6794871794871794,0,0,Barber,average
NA,1.0,0.6923076923076923,0,0,Barber,average
NA,1.0,0.725,0,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.7619047619047619,0,0,Barber,average
NA,1.0,0.6822916666666666,0,1,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.7941176470588235,0,1,Barber,average
NA,1.0,0.8403361344537814,0,0,Barber,average
NA,1.0,0.8055555555555555,0,0,Barber,average
NA,1.0,0.7222222222222222,0,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.6785714285714285,0,0,Barber,average
NA,1.0,0.7037037037037037,0,0,Barber,average
NA,1.0,0.6805555555555555,0,0,Barber,average
NA,1.0,0.8666666666666666,0,0,Barber,average
NA,1.0,0.72,0,0,Barber,average
NA,1.0,0.6923076923076923,0,0,Barber,average
NA,1.0,0.72,0,1,Barber,average
NA,1.0,0.7134502923976608,0,0,Barber,average
NA,1.0,0.676470588235294,0,1,Barber,average
NA,1.0,0.7,0,0,Barber,average
NA,1.0,0.6799999999999999,0,0,Barber,average
NA,1.0,0.2222222222222222,0,0,Barber,average
NA,1.0,0.7818181818181817,0,0,Barber,average
NA,1.0,0.7952380952380952,0,1,Barber,average
NA,1.0,0.8095238095238095,0,0,Barber,average
NA,1.0,0.7846153846153846,0,1,Barber,average
NA,1.0,0.7235294117647059,0,1,Barber,average
NA,1.0,0.7083333333333333,0,0,Barber,average
NA,1.0,0.7333333333333333,0,0,Barber,average
NA,1.0,0.6851851851851851,0,0,Barber,average
NA,1.0,0.8222222222222222,0,0,Barber,average
NA,1.0,0.6190476190476191,0,0,Barber,average
NA,1.0,0.6699999999999999,0,0,Barber,average
NA,1.0,0.7023809523809523,0,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.6851851851851851,0,0,Barber,average
NA,1.0,0.7777777777777777,0,0,Barber,average
NA,1.0,0.8263157894736841,0,1,Barber,average
