,Tau,Method,ARI
393,0.025,Randomized,1.0
394,0.05,Randomized,1.0
395,0.1,Randomized,1.0
396,0.25,Randomized,0.02145922746781116
397,0.5,Randomized,0.06489994591671173
398,1.0,Randomized,0.06489994591671173
399,5.0,Randomized,-0.017306652244456464
400,0.0,Naive,0.7995558023320377
401,0.025,Randomized,0.7995558023320377
402,0.05,Randomized,0.7995558023320377
403,0.1,Randomized,0.7995558023320377
404,0.25,Randomized,0.3303964757709251
405,0.5,Randomized,0.02145922746781116
406,1.0,Randomized,-0.03980099502487562
407,5.0,Randomized,0.4619655746807329
408,0.0,Naive,0.7995558023320377
409,0.025,Randomized,0.7995558023320377
410,0.05,Randomized,0.7995558023320377
411,0.1,Randomized,0.7995558023320377
412,0.25,Randomized,0.0
413,0.5,Randomized,0.02145922746781116
414,1.0,Randomized,-0.019313304721030045
415,5.0,Randomized,-0.05321507760532151
416,0.0,Naive,1.0
417,0.025,Randomized,1.0
418,0.05,Randomized,1.0
419,0.1,Randomized,1.0
420,0.25,Randomized,1.0
421,0.5,Randomized,0.2191780821917808
422,1.0,Randomized,0.02145922746781116
423,5.0,Randomized,-0.03980099502487562
424,0.0,Naive,1.0
425,0.025,Randomized,1.0
426,0.05,Randomized,1.0
427,0.1,Randomized,1.0
428,0.25,Randomized,0.3303964757709251
429,0.5,Randomized,0.3303964757709251
430,1.0,Randomized,0.21227197346600332
431,5.0,Randomized,0.03997779011660189
432,0.0,Naive,0.7995558023320377
433,0.025,Randomized,0.7995558023320377
434,0.05,Randomized,0.7995558023320377
435,0.1,Randomized,0.7995558023320377
436,0.25,Randomized,0.0
437,0.5,Randomized,0.0
438,1.0,Randomized,-0.034858387799564274
439,5.0,Randomized,-0.030684931506849315
440,0.0,Naive,1.0
441,0.025,Randomized,1.0
442,0.05,Randomized,1.0
443,0.1,Randomized,1.0
444,0.25,Randomized,1.0
445,0.5,Randomized,0.6208425720620843
446,1.0,Randomized,0.02145922746781116
447,5.0,Randomized,0.006535947712418301
448,0.0,Naive,1.0
449,0.025,Randomized,1.0
450,0.05,Randomized,1.0
451,0.1,Randomized,1.0
452,0.25,Randomized,1.0
453,0.5,Randomized,0.0
454,1.0,Randomized,-0.017306652244456464
455,5.0,Randomized,0.0526027397260274
456,0.0,Naive,1.0
457,0.025,Randomized,1.0
458,0.05,Randomized,1.0
459,0.1,Randomized,1.0
460,0.25,Randomized,0.0
461,0.5,Randomized,-0.034858387799564274
462,1.0,Randomized,-0.019313304721030045
463,5.0,Randomized,-0.030684931506849315
464,0.0,Naive,1.0
465,0.025,Randomized,1.0
466,0.05,Randomized,1.0
467,0.1,Randomized,0.0
468,0.25,Randomized,0.46434494195688225
469,0.5,Randomized,0.02145922746781116
470,1.0,Randomized,0.02145922746781116
471,5.0,Randomized,-0.017306652244456464
472,0.0,Naive,1.0
473,0.025,Randomized,1.0
474,0.05,Randomized,1.0
475,0.1,Randomized,1.0
476,0.25,Randomized,1.0
477,0.5,Randomized,0.0
478,1.0,Randomized,0.0
479,5.0,Randomized,-0.05555555555555555
480,0.0,Naive,1.0
481,0.025,Randomized,1.0
482,0.05,Randomized,1.0
483,0.1,Randomized,1.0
484,0.25,Randomized,1.0
485,0.5,Randomized,0.2191780821917808
486,1.0,Randomized,-0.004405286343612335
487,5.0,Randomized,-0.04441976679622432
488,0.0,Naive,1.0
489,0.025,Randomized,1.0
490,0.05,Randomized,1.0
491,0.1,Randomized,1.0
492,0.25,Randomized,1.0
493,0.5,Randomized,1.0
494,1.0,Randomized,0.0
495,5.0,Randomized,0.0
496,0.0,Naive,1.0
497,0.025,Randomized,1.0
498,0.05,Randomized,1.0
499,0.1,Randomized,0.0
500,0.25,Randomized,1.0
501,0.5,Randomized,0.02145922746781116
502,1.0,Randomized,-0.03980099502487562
503,5.0,Randomized,0.11529933481152993
504,0.0,Naive,1.0
505,0.025,Randomized,1.0
506,0.05,Randomized,1.0
507,0.1,Randomized,1.0
508,0.25,Randomized,0.0
509,0.5,Randomized,0.0
510,1.0,Randomized,0.0
511,5.0,Randomized,-0.046255506607929514
512,0.0,Naive,1.0
513,0.025,Randomized,1.0
514,0.05,Randomized,1.0
515,0.1,Randomized,1.0
516,0.25,Randomized,0.0
517,0.5,Randomized,0.2087729039422543
518,1.0,Randomized,-0.004405286343612335
519,5.0,Randomized,0.02145922746781116
520,0.0,Naive,0.7995558023320377
521,0.025,Randomized,0.7995558023320377
522,0.05,Randomized,0.7995558023320377
523,0.1,Randomized,0.7995558023320377
524,0.25,Randomized,0.7995558023320377
525,0.5,Randomized,1.0
526,1.0,Randomized,0.11529933481152993
527,5.0,Randomized,0.04422332780541736
528,0.0,Naive,1.0
529,0.025,Randomized,1.0
530,0.05,Randomized,1.0
531,0.1,Randomized,1.0
532,0.25,Randomized,0.0
533,0.5,Randomized,0.2191780821917808
534,1.0,Randomized,0.006535947712418301
535,5.0,Randomized,-0.030684931506849315
536,0.0,Naive,1.0
537,0.025,Randomized,1.0
538,0.05,Randomized,1.0
539,0.1,Randomized,1.0
540,0.25,Randomized,1.0
541,0.5,Randomized,0.3303964757709251
542,1.0,Randomized,0.11333333333333333
543,5.0,Randomized,-0.03980099502487562
544,0.0,Naive,1.0
545,0.025,Randomized,1.0
546,0.05,Randomized,1.0
547,0.1,Randomized,1.0
548,0.25,Randomized,1.0
549,0.5,Randomized,0.7995558023320377
550,1.0,Randomized,-0.017306652244456464
551,5.0,Randomized,0.006535947712418301
552,0.0,Naive,1.0
553,0.025,Randomized,1.0
554,0.05,Randomized,0.6208425720620843
555,0.1,Randomized,1.0
556,0.25,Randomized,1.0
557,0.5,Randomized,0.02145922746781116
558,1.0,Randomized,0.13071895424836602
559,5.0,Randomized,0.006535947712418301
560,0.0,Naive,1.0
561,0.025,Randomized,1.0
562,0.05,Randomized,1.0
563,0.1,Randomized,1.0
564,0.25,Randomized,0.0
565,0.5,Randomized,0.0
566,1.0,Randomized,0.0526027397260274
567,5.0,Randomized,-0.03980099502487562
568,0.0,Naive,1.0
569,0.025,Randomized,1.0
570,0.05,Randomized,1.0
571,0.1,Randomized,1.0
572,0.25,Randomized,1.0
573,0.5,Randomized,0.02145922746781116
574,1.0,Randomized,0.06489994591671173
575,5.0,Randomized,0.006535947712418301
576,0.0,Naive,1.0
577,0.025,Randomized,1.0
578,0.05,Randomized,1.0
579,0.1,Randomized,1.0
580,0.25,Randomized,1.0
581,0.5,Randomized,0.0
582,1.0,Randomized,0.06489994591671173
583,5.0,Randomized,0.06489994591671173
584,0.0,Naive,1.0
585,0.025,Randomized,1.0
586,0.05,Randomized,1.0
587,0.1,Randomized,1.0
588,0.25,Randomized,0.0
589,0.5,Randomized,0.0
590,1.0,Randomized,-0.04441976679622432
591,5.0,Randomized,-0.046255506607929514
592,0.0,Naive,1.0
593,0.025,Randomized,1.0
594,0.05,Randomized,1.0
595,0.1,Randomized,1.0
596,0.25,Randomized,0.0
597,0.5,Randomized,0.0
598,1.0,Randomized,0.02145922746781116
599,5.0,Randomized,-0.019313304721030045
600,0.0,Naive,1.0
601,0.025,Randomized,1.0
602,0.05,Randomized,1.0
603,0.1,Randomized,1.0
604,0.25,Randomized,0.0
605,0.5,Randomized,0.02145922746781116
606,1.0,Randomized,0.0
607,5.0,Randomized,0.03997779011660189
608,0.0,Naive,1.0
609,0.025,Randomized,1.0
610,0.05,Randomized,1.0
611,0.1,Randomized,1.0
612,0.25,Randomized,0.7995558023320377
613,0.5,Randomized,0.0
614,1.0,Randomized,0.0
