,Tau,Method,WCSS/TSS
372,0.25,Randomized,0.8979560483396469
373,0.5,Randomized,0.9131519446138316
374,1.0,Randomized,0.9603301471585782
375,5.0,Randomized,0.9998538651353982
376,0.0,Naive,0.8319201120910581
377,0.025,Randomized,0.8319201120910581
378,0.05,Randomized,0.8319201120910581
379,0.1,Randomized,0.8319201120910581
380,0.25,Randomized,0.9605575661696121
381,0.5,Randomized,0.9036627561582918
382,1.0,Randomized,0.7804241154895628
383,5.0,Randomized,0.9432629717572467
384,0.0,Naive,0.1859379254107346
385,0.025,Randomized,0.1859379254107346
386,0.05,Randomized,0.1859379254107346
387,0.1,Randomized,0.1859379254107346
388,0.25,Randomized,0.9391635689482718
389,0.5,Randomized,0.8822308366924737
390,1.0,Randomized,0.9784596461861
391,5.0,Randomized,0.9394483990397299
392,0.0,Naive,0.1845297473971098
393,0.025,Randomized,0.1845297473971098
394,0.05,Randomized,0.1845297473971098
395,0.1,Randomized,0.1845297473971098
396,0.25,Randomized,0.7983737058420448
397,0.5,Randomized,0.8773983575310045
398,1.0,Randomized,0.7767950779819677
399,5.0,Randomized,0.9859209047017676
400,0.0,Naive,0.17432051577474633
401,0.025,Randomized,0.17432051577474633
402,0.05,Randomized,0.17432051577474633
403,0.1,Randomized,0.17432051577474633
404,0.25,Randomized,0.6575416670250283
405,0.5,Randomized,0.9087806274217594
406,1.0,Randomized,0.9961741908463482
407,5.0,Randomized,0.6120851964334594
408,0.0,Naive,0.17686851227307443
409,0.025,Randomized,0.17686851227307443
410,0.05,Randomized,0.17686851227307443
411,0.1,Randomized,0.17686851227307443
412,0.25,Randomized,0.9259043954950004
413,0.5,Randomized,0.9324738601896639
414,1.0,Randomized,0.9997680162828929
415,5.0,Randomized,0.9981862783006978
416,0.0,Naive,0.09731205832398965
417,0.025,Randomized,0.09731205832398965
418,0.05,Randomized,0.09731205832398965
419,0.1,Randomized,0.09731205832398965
420,0.25,Randomized,0.09731205832398965
421,0.5,Randomized,0.6887539607047414
422,1.0,Randomized,0.8759200478539821
423,5.0,Randomized,0.9879583288158612
424,0.0,Naive,0.13489032400418322
425,0.025,Randomized,0.13489032400418322
426,0.05,Randomized,0.13489032400418322
427,0.1,Randomized,0.13489032400418322
428,0.25,Randomized,0.6306073683112555
429,0.5,Randomized,0.5888619171005521
430,1.0,Randomized,0.8475708472482845
431,5.0,Randomized,0.958617576644706
432,0.0,Naive,0.19677984607072496
433,0.025,Randomized,0.19677984607072496
434,0.05,Randomized,0.19677984607072496
435,0.1,Randomized,0.19677984607072496
436,0.25,Randomized,0.9399083220902124
437,0.5,Randomized,0.9010942513366802
438,1.0,Randomized,0.9934957999217351
439,5.0,Randomized,0.9632380510830306
440,0.0,Naive,0.15749491768384946
441,0.025,Randomized,0.15749491768384946
442,0.05,Randomized,0.15749491768384946
443,0.1,Randomized,0.15749491768384946
444,0.25,Randomized,0.15749491768384946
445,0.5,Randomized,0.40798039380547463
446,1.0,Randomized,0.9308153730132473
447,5.0,Randomized,0.9345004447861202
448,0.0,Naive,0.13128063494621467
449,0.025,Randomized,0.13128063494621467
450,0.05,Randomized,0.13128063494621467
451,0.1,Randomized,0.13128063494621467
452,0.25,Randomized,0.13128063494621467
453,0.5,Randomized,0.9366312498962882
454,1.0,Randomized,0.9628819210579348
455,5.0,Randomized,0.9226640917093459
456,0.0,Naive,0.20371227387962784
457,0.025,Randomized,0.20371227387962784
458,0.05,Randomized,0.20371227387962784
459,0.1,Randomized,0.20371227387962784
460,0.25,Randomized,0.9118159017542677
461,0.5,Randomized,0.9934682702678327
462,1.0,Randomized,0.9776228767333657
463,5.0,Randomized,0.9952247700262127
464,0.0,Naive,0.14987065001887237
465,0.025,Randomized,0.14987065001887237
466,0.05,Randomized,0.14987065001887237
467,0.1,Randomized,0.9841325804759574
468,0.25,Randomized,0.5594004297801369
469,0.5,Randomized,0.8776755061666165
470,1.0,Randomized,0.8604916026098421
471,5.0,Randomized,0.9857570175314105
472,0.0,Naive,0.1676332290483976
473,0.025,Randomized,0.1676332290483976
474,0.05,Randomized,0.1676332290483976
475,0.1,Randomized,0.1676332290483976
476,0.25,Randomized,0.1676332290483976
477,0.5,Randomized,0.9812732455677815
478,1.0,Randomized,0.9186838260314255
479,5.0,Randomized,0.9939855841092586
480,0.0,Naive,0.14646132956303823
481,0.025,Randomized,0.14646132956303823
482,0.05,Randomized,0.14646132956303823
483,0.1,Randomized,0.14646132956303823
484,0.25,Randomized,0.14646132956303823
485,0.5,Randomized,0.7461091415851676
486,1.0,Randomized,0.9876151661625461
487,5.0,Randomized,0.9978210849977223
488,0.0,Naive,0.15128647667013462
489,0.025,Randomized,0.15128647667013462
490,0.05,Randomized,0.15128647667013462
491,0.1,Randomized,0.15128647667013462
492,0.25,Randomized,0.15128647667013462
493,0.5,Randomized,0.15128647667013462
494,1.0,Randomized,0.8980624989013783
495,5.0,Randomized,0.8980624989013783
496,0.0,Naive,0.16197418106095482
497,0.025,Randomized,0.16197418106095482
498,0.05,Randomized,0.16197418106095482
499,0.1,Randomized,0.9596551465833275
500,0.25,Randomized,0.16197418106095482
501,0.5,Randomized,0.8334762363689399
502,1.0,Randomized,0.9888868194211095
503,5.0,Randomized,0.6911747158654229
504,0.0,Naive,0.13078039601915387
505,0.025,Randomized,0.13078039601915387
506,0.05,Randomized,0.13078039601915387
507,0.1,Randomized,0.13078039601915387
508,0.25,Randomized,0.9423528494752581
509,0.5,Randomized,0.9084681249464266
510,1.0,Randomized,0.9423528494752581
511,5.0,Randomized,0.9966806654279857
512,0.0,Naive,0.20827128497082287
513,0.025,Randomized,0.20827128497082287
514,0.05,Randomized,0.20827128497082287
515,0.1,Randomized,0.20827128497082287
516,0.25,Randomized,0.8786059633166126
517,0.5,Randomized,0.8427880023669359
518,1.0,Randomized,0.895425865532051
519,5.0,Randomized,0.8924272064879839
520,0.0,Naive,0.23131935355222516
521,0.025,Randomized,0.23131935355222516
522,0.05,Randomized,0.23131935355222516
523,0.1,Randomized,0.23131935355222516
524,0.25,Randomized,0.23131935355222516
525,0.5,Randomized,0.19318091933525466
526,1.0,Randomized,0.9320033264300155
527,5.0,Randomized,0.8190184521856357
528,0.0,Naive,0.17559958815039325
529,0.025,Randomized,0.17559958815039325
530,0.05,Randomized,0.17559958815039325
531,0.1,Randomized,0.17559958815039325
532,0.25,Randomized,0.9002659346484309
533,0.5,Randomized,0.572230131705853
534,1.0,Randomized,0.9467989579327127
535,5.0,Randomized,0.9729109807571003
536,0.0,Naive,0.09235620255507128
537,0.025,Randomized,0.09235620255507128
538,0.05,Randomized,0.09235620255507128
539,0.1,Randomized,0.09235620255507128
540,0.25,Randomized,0.09235620255507128
541,0.5,Randomized,0.6443227431834794
542,1.0,Randomized,0.8879215438109991
543,5.0,Randomized,0.9864922915887613
544,0.0,Naive,0.1504932310768276
545,0.025,Randomized,0.1504932310768276
546,0.05,Randomized,0.1504932310768276
547,0.1,Randomized,0.1504932310768276
548,0.25,Randomized,0.1504932310768276
549,0.5,Randomized,0.20083635429926083
550,1.0,Randomized,0.9663447256165059
551,5.0,Randomized,0.9394180192033084
552,0.0,Naive,0.14857821388687056
553,0.025,Randomized,0.14857821388687056
554,0.05,Randomized,0.205791305496138
555,0.1,Randomized,0.14857821388687056
556,0.25,Randomized,0.14857821388687056
557,0.5,Randomized,0.8396536249330344
558,1.0,Randomized,0.7454657850871758
559,5.0,Randomized,0.8986681179378292
560,0.0,Naive,0.21150318545307437
561,0.025,Randomized,0.21150318545307437
562,0.05,Randomized,0.21150318545307437
563,0.1,Randomized,0.21150318545307437
564,0.25,Randomized,0.8927890987183376
565,0.5,Randomized,0.9514737313384621
566,1.0,Randomized,0.8197398936207607
567,5.0,Randomized,0.9928193020256835
568,0.0,Naive,0.1240853834267838
569,0.025,Randomized,0.1240853834267838
570,0.05,Randomized,0.1240853834267838
571,0.1,Randomized,0.1240853834267838
572,0.25,Randomized,0.1240853834267838
573,0.5,Randomized,0.9421565682371308
574,1.0,Randomized,0.7512357179705037
575,5.0,Randomized,0.9445927679463022
576,0.0,Naive,0.14340096747493497
577,0.025,Randomized,0.14340096747493497
578,0.05,Randomized,0.14340096747493497
579,0.1,Randomized,0.14340096747493497
580,0.25,Randomized,0.14340096747493497
581,0.5,Randomized,0.9757575753963602
582,1.0,Randomized,0.8882287576864832
583,5.0,Randomized,0.8953267782311244
584,0.0,Naive,0.15288683477890733
585,0.025,Randomized,0.15288683477890733
586,0.05,Randomized,0.15288683477890733
587,0.1,Randomized,0.15288683477890733
588,0.25,Randomized,0.917443959290975
589,0.5,Randomized,0.9760991168803047
590,1.0,Randomized,0.9752572828722291
591,5.0,Randomized,0.9986407441082498
592,0.0,Naive,0.10852180945492396
593,0.025,Randomized,0.10852180945492396
594,0.05,Randomized,0.10852180945492396
595,0.1,Randomized,0.10852180945492396
596,0.25,Randomized,0.9422290109489917
597,0.5,Randomized,0.9262181744876565
598,1.0,Randomized,0.9062471598442052
599,5.0,Randomized,0.9927702434128781
600,0.0,Naive,0.09271064831213884
601,0.025,Randomized,0.09271064831213884
