tau,delta,effect_size,reject
0.01,10.625,1.9211722826857276,1
0.01,12.5,1.8879374010439096,1
0.01,12.5,1.863038818320271,1
0.01,12.5,1.8693365425809598,1
0.01,12.5,1.8496147384180197,1
0.01,12.5,1.9367035907835934,1
0.01,12.5,1.7716182183258324,1
0.01,12.5,1.923480570106872,1
0.01,12.5,1.93157219994547,1
0.01,12.5,1.8166298390385083,1
0.01,12.5,1.845053820554489,1
0.01,12.5,2.022413311371689,1
0.01,12.5,1.989160413589432,1
0.01,12.5,2.0038174764965104,1
0.01,12.5,2.0230672372102587,1
0.01,12.5,1.8867747252340485,1
0.01,12.5,1.7516537706317692,1
0.01,12.5,1.847232133420352,1
0.01,12.5,1.8038822207519989,1
0.01,12.5,1.9524411636698678,1
0.01,12.5,1.9814206979976194,1
0.01,12.5,1.9913991941515878,1
0.01,12.5,1.9873544892180466,1
0.01,12.5,1.878417755472845,1
0.01,12.5,1.8572931742543646,1
0.01,12.5,1.9228965619012652,1
0.01,12.5,1.8749474378872397,1
0.01,12.5,1.9026026444154964,1
0.01,12.5,1.8535227995672063,1
0.01,12.5,1.8785869772686654,1
0.01,12.5,1.984424504974708,1
0.01,14.375,1.8878894214341735,1
0.01,14.375,1.862097402977126,1
0.01,14.375,1.8256761855765244,1
0.01,14.375,1.8902530230468,1
0.01,14.375,1.895362308266854,1
0.01,14.375,1.9149432972386051,1
0.01,14.375,1.8838098221529906,1
0.01,14.375,1.9171310723146988,1
0.01,14.375,1.8403471416660508,1
0.01,14.375,1.9138550817347948,1
0.01,14.375,1.932589064362563,1
0.01,14.375,2.0081486664510857,1
0.01,14.375,1.9740281914931828,1
0.01,14.375,1.9776801048715056,1
0.01,14.375,1.9465973555228768,1
0.01,14.375,1.9539001343821463,1
0.01,14.375,1.8663632562648842,1
0.01,14.375,1.947483067937914,1
0.01,14.375,1.9552305137506871,1
0.01,14.375,1.9452075647482219,1
0.01,14.375,1.8793067046665235,1
0.01,14.375,1.9364302400204798,1
0.01,14.375,1.8615835041389965,1
0.01,14.375,1.8913373297683729,1
0.01,14.375,1.9783618126499956,1
0.01,14.375,1.964637713578306,1
0.01,14.375,1.9303474354482828,1
0.01,14.375,1.9321535941089214,1
0.01,14.375,1.9462331541258768,1
0.01,14.375,1.977637693800893,1
0.01,16.25,1.8867095113229362,1
0.01,16.25,1.9586804891533593,1
0.01,16.25,1.9600151687720002,1
0.01,16.25,1.9328568005834061,1
0.01,16.25,1.872372987565241,1
0.01,16.25,1.8770024135936283,1
0.01,16.25,1.864590365391544,1
0.01,16.25,1.9094066990546652,1
0.01,16.25,1.8540884001131521,1
0.01,16.25,1.918615606574616,1
0.01,16.25,1.938693047968085,1
0.01,16.25,1.922031459275905,1
0.01,16.25,1.9283110411493203,1
0.01,16.25,2.0252721442532766,1
0.01,16.25,1.873425123062045,1
0.01,16.25,1.983502401552202,1
0.01,16.25,1.971459675726262,1
0.01,16.25,1.9547634607409516,1
0.01,16.25,1.8739927298273706,1
0.01,16.25,1.8115071975018566,1
0.01,16.25,1.9013733176210796,1
0.01,16.25,1.9035355917755097,1
0.01,16.25,1.9589224733735286,1
0.01,16.25,1.923692536472454,1
0.01,16.25,1.9237388551687413,1
0.01,16.25,1.869277524881458,1
0.01,16.25,1.9344214188714506,1
0.01,16.25,1.901921711221131,1
0.01,16.25,1.9368348595194866,1
0.01,16.25,1.9588392236347985,1
0.01,18.125,1.9644558437287456,1
0.01,18.125,1.9780219553654348,1
0.01,18.125,1.9358311322335127,1
0.01,18.125,1.9106072014329287,1
0.01,18.125,1.889341454364033,1
0.01,18.125,1.9424446144670025,1
0.01,18.125,1.91656689181406,1
0.01,18.125,1.847815587070755,1
0.01,18.125,1.950899516540366,1
0.01,18.125,1.9025385894173532,1
0.01,18.125,2.0219795981971105,1
0.01,18.125,1.9691756440379986,1
0.01,18.125,1.82397929754222,1
0.01,18.125,1.8920552207077075,1
0.01,18.125,1.8747797054658466,1
0.01,18.125,1.8698184708456627,1
0.01,18.125,1.9414265397725157,1
0.01,18.125,1.9100741091773217,1
0.01,18.125,1.9182091954444604,1
0.01,18.125,1.9186718476227689,1
0.01,18.125,1.9303462090986307,1
0.01,18.125,2.002754052899511,1
0.01,18.125,1.9952680054053502,1
0.01,18.125,1.9436972018408454,1
0.01,18.125,1.9551261763427565,1
0.01,18.125,1.9341776215085158,1
0.01,18.125,1.9199412125054445,1
0.01,18.125,1.911580899156636,1
