,delta,Tau,Method,WCSS/TSS
395,2,0.1,Randomized,0.7096512566229359
396,2,0.0,Naive,0.7875187446152292
397,2,0.1,Randomized,0.7875187446152292
398,2,0.0,Naive,0.9614805678703756
399,2,0.1,Randomized,0.9614805678703756
400,2,0.0,Naive,0.7785932265957711
401,2,0.1,Randomized,0.8372039765274711
402,2,0.0,Naive,0.9552477681714501
403,2,0.1,Randomized,0.8421446355235042
404,2,0.0,Naive,0.8616404385386609
405,2,0.1,Randomized,0.8616404385386609
406,2,0.0,Naive,0.8256423055180736
407,2,0.1,Randomized,0.8256423055180736
408,2,0.0,Naive,0.9503918540053071
409,2,0.1,Randomized,0.9503918540053071
410,2,0.0,Naive,0.8675819003577916
411,2,0.1,Randomized,0.8198766558620507
412,2,0.0,Naive,0.7120377131618061
413,2,0.1,Randomized,0.7120377131618061
414,2,0.0,Naive,0.7204828404211662
415,2,0.1,Randomized,0.7204828404211662
416,2,0.0,Naive,0.8814728921197026
417,2,0.1,Randomized,0.4504485525449921
418,2,0.0,Naive,0.8216944230698734
419,2,0.1,Randomized,0.8216944230698734
420,2,0.0,Naive,0.8981701933160311
421,2,0.1,Randomized,0.6244176848942445
422,2,0.0,Naive,0.8579516108684788
423,2,0.1,Randomized,0.8279539954462478
424,2,0.0,Naive,0.8416981763359205
425,2,0.1,Randomized,0.8416981763359205
426,2,0.0,Naive,0.5720166293585385
427,2,0.1,Randomized,0.903404139338271
428,2,0.0,Naive,0.8251458197485919
429,2,0.1,Randomized,0.8251458197485919
430,2,0.0,Naive,0.8176418397124862
431,2,0.1,Randomized,0.8637184371458557
432,2,0.0,Naive,0.9386689870357954
433,2,0.1,Randomized,0.8793311006728572
434,2,0.0,Naive,0.7991787417209483
435,2,0.1,Randomized,0.7991787417209483
436,2,0.0,Naive,0.8240110457125318
437,2,0.1,Randomized,0.8240110457125318
438,2,0.0,Naive,0.9140200582495669
439,2,0.1,Randomized,0.856200234438475
440,2,0.0,Naive,0.894472291940425
441,2,0.1,Randomized,0.894472291940425
442,2,0.0,Naive,0.7492297594223624
443,2,0.1,Randomized,0.8224327670983639
444,2,0.0,Naive,0.8191548241099087
445,2,0.1,Randomized,0.8191548241099087
446,2,0.0,Naive,0.7798847739065234
447,2,0.1,Randomized,0.8792881424661919
448,2,0.0,Naive,0.828630411337612
449,2,0.1,Randomized,0.828630411337612
450,2,0.0,Naive,0.8708155756698486
451,2,0.1,Randomized,0.8708155756698486
452,2,0.0,Naive,0.8133467303486441
453,2,0.1,Randomized,0.8133467303486441
454,2,0.0,Naive,0.850073429932187
455,2,0.1,Randomized,0.850073429932187
456,2,0.0,Naive,0.6742916335000549
457,2,0.1,Randomized,0.6742916335000549
458,2,0.0,Naive,0.7879941402308563
459,2,0.1,Randomized,0.7879941402308563
460,2,0.0,Naive,0.8389643021783073
461,2,0.1,Randomized,0.8389643021783073
462,2,0.0,Naive,0.9100821690611044
463,2,0.1,Randomized,0.9439075414335741
464,2,0.0,Naive,0.8112871050694567
465,2,0.1,Randomized,0.8112871050694567
466,2,0.0,Naive,0.606430269682278
